P ,CN,time of concentration, unit peak discharge,Ia/P
6,43,0.25544063,430.387072,0.45
6,43,0.275784901,413.5165114,0.45
6,43,0.297749467,397.3072526,0.45
6,43,0.343287232,364.333707,0.45
6,43,0.39291154,341.981517,0.45
6,43,0.44319283,318.8684131,0.45
6,43,0.492664732,300.3045809,0.45
6,43,0.543676672,282.821495,0.45
6,43,0.643044321,261.0836581,0.45
6,43,0.694258835,250.8495503,0.45
6,43,0.783103844,232.3420287,0.45
6,43,0.893041529,215.918308,0.45
6,43,0.981919863,202.671501,0.45
6,43,1.136233363,187.0940427,0.45
6,43,1.305236952,171.5666555,0.45
6,43,1.779902556,142.8357811,0.45
6,43,1.515883016,157.3278757,0.45
6,43,1.985819676,133.6266624,0.45
6,43,2.167577707,127.9615576,0.45
6,43,2.48998367,117.7333637,0.45
6,43,2.757850392,110.142685,0.45
6,43,3.156513794,101.3387851,0.45
6,43,3.470661248,96.07726514,0.45
6,43,4.016091266,88.69270649,0.45
6,43,4.480713301,82.149002,0.45
6,43,4.944659391,77.36646404,0.45
6,43,5.516707573,73.10556635,0.45
6,43,5.977852034,69.30989678,0.45
6,43,6.477548128,66.59304747,0.45
6,43,6.942589506,62.92548729,0.45
6,43,7.468223493,60.25776011,0.45
6,43,8.063021429,58.08899501,0.45
6,43,8.768952159,55.44126756,0.45
6,43,9.228578329,53.62423854,0.45
6,43,9.783433186,51.52224471,0.45
6,45,0.158373694,648.4319877,0.4
6,45,0.138371266,693.1198295,0.4
6,45,0.118709342,745.8417647,0.4
6,45,0.100365572,813.3431361,0.4
6,45,0.177990226,604.6071751,0.4
6,45,0.194991578,580.9074344,0.4
6,45,0.215968252,548.9143265,0.4
6,45,0.235735387,527.3976662,0.4
6,45,0.25544063,500.0150496,0.4
6,45,0.276793138,483.6275842,0.4
6,45,0.298838004,461.5835803,0.4
6,45,0.348334783,427.5282348,0.4
6,45,0.394347979,398.6333853,0.4
6,45,0.441578471,370.4549132,0.4
6,45,0.496273566,351.2207493,0.4
6,45,0.54566429,331.8775403,0.4
6,45,0.638368404,303.3217463,0.4
6,45,0.694258835,288.5330687,0.4
6,45,0.783103844,271.7352949,0.4
6,45,0.899582875,248.35433,0.4
6,45,0.996357601,235.4596762,0.4
6,45,1.148740402,215.918308,0.4
6,45,1.31960429,199.3226919,0.4
6,45,1.779902556,165.3916697,0.4
6,45,1.532569031,181.5662766,0.4
6,45,1.964198845,155.7629229,0.4
6,45,2.151816097,146.694741,0.4
6,45,2.508223126,132.7390298,0.4
6,45,2.788207308,124.1808837,0.4
6,45,3.19125898,114.2548858,0.4
6,45,3.560456078,106.5328748,0.4
6,45,3.986886799,98.34469142,0.4
6,45,4.431929039,91.69798405,0.4
6,45,4.944659391,84.65001968,0.4
6,45,5.476590829,79.98798584,0.4
6,45,5.912767508,74.83088269,0.4
6,45,6.477548128,70.47438987,0.4
6,45,6.993444882,66.59304747,0.4
6,45,7.52292418,63.76985346,0.4
6,45,8.033648658,60.86317088,0.4
6,45,8.833185881,57.31984816,0.4
6,45,9.330161495,55.25682282,0.4
6,45,9.783433186,53.62423854,0.4
6,49,0.157796808,711.8457897,0.35
6,49,0.138371266,760.9040223,0.35
6,49,0.119143329,821.5148088,0.35
6,49,0.100732479,889.914168,0.35
6,49,0.178640937,677.1392183,0.35
6,49,0.197858653,639.8462061,0.35
6,49,0.218345513,616.8172034,0.35
6,49,0.240075953,588.7022557,0.35
6,49,0.25544063,569.4082476,0.35
6,49,0.274780428,545.2681745,0.35
6,49,0.295584373,525.6431738,0.35
6,49,0.34454225,483.6275842,0.35
6,49,0.397236496,447.9459143,0.35
6,49,0.446439126,421.867468,0.35
6,49,0.492664732,399.9639442,0.35
6,49,0.541696474,374.1768801,0.35
6,49,0.645395215,343.1229833,0.35
6,49,0.694258835,327.4832043,0.35
6,49,0.788839919,304.3341739,0.35
6,49,0.883318441,282.821495,0.35
6,49,0.989112555,265.4701097,0.35
6,49,1.144556039,241.016605,0.35
6,49,1.31960429,223.9796644,0.35
6,49,1.773419144,182.7803637,0.35
6,49,1.538171409,201.3252905,0.35
6,49,1.978586197,171.5666555,0.35
6,49,2.151816097,161.0408673,0.35
6,49,2.4718785,146.694741,0.35
6,49,2.778050151,135.8717162,0.35
6,49,3.202924778,122.9456466,0.35
